,demos
0,assembling_gift_baskets_0_Beechwood_0_int_2021-05-28_13-32-07.hdf5
1,assembling_gift_baskets_0_Beechwood_0_int_2021-05-30_14-30-15.hdf5
2,assembling_gift_baskets_0_Beechwood_0_int_2021-06-01_14-11-09.hdf5
3,bottling_fruit_0_Wainscott_0_int_2021-05-24_19-46-46.hdf5
4,bottling_fruit_0_Wainscott_0_int_2021-05-30_14-38-11.hdf5
5,bottling_fruit_0_Wainscott_0_int_2021-06-05_18-37-24.hdf5
6,boxing_books_up_for_storage_0_Benevolence_1_int_2021-05-27_18-47-09.hdf5
7,boxing_books_up_for_storage_0_Benevolence_1_int_2021-06-01_14-17-46.hdf5
8,boxing_books_up_for_storage_0_Benevolence_1_int_2021-06-05_19-24-23.hdf5
9,bringing_in_wood_0_Benevolence_1_int_2021-05-28_13-58-41.hdf5
10,bringing_in_wood_0_Benevolence_1_int_2021-05-30_15-36-02.hdf5
11,bringing_in_wood_0_Benevolence_1_int_2021-06-01_14-31-43.hdf5
12,brushing_lint_off_clothing_0_Pomaria_2_int_2021-06-02_16-02-55.hdf5
13,brushing_lint_off_clothing_0_Pomaria_2_int_2021-06-04_16-14-19.hdf5
14,brushing_lint_off_clothing_0_Pomaria_2_int_2021-06-04_17-41-56.hdf5
15,chopping_vegetables_0_Rs_int_2021-05-25_22-01-16.hdf5
16,chopping_vegetables_0_Rs_int_2021-05-30_15-25-12.hdf5
17,chopping_vegetables_0_Rs_int_2021-06-03_12-33-18.hdf5
18,cleaning_a_car_0_Ihlen_0_int_2021-05-22_20-20-20.hdf5
19,cleaning_a_car_0_Ihlen_0_int_2021-05-25_19-33-34.hdf5
20,cleaning_a_car_0_Ihlen_0_int_2021-05-30_15-04-53.hdf5
21,cleaning_barbecue_grill_0_Ihlen_0_int_2021-05-27_19-03-38.hdf5
22,cleaning_barbecue_grill_0_Ihlen_0_int_2021-05-30_15-09-21.hdf5
23,cleaning_barbecue_grill_0_Ihlen_0_int_2021-06-01_14-46-44.hdf5
24,cleaning_bathrooms_0_Benevolence_0_int_2021-05-23_16-33-46.hdf5
25,cleaning_bathrooms_0_Benevolence_0_int_2021-06-02_16-08-34.hdf5
26,cleaning_bathrooms_0_Benevolence_0_int_2021-06-03_13-04-11.hdf5
27,cleaning_bathtub_0_Pomaria_0_int_2021-05-22_17-35-47.hdf5
28,cleaning_bathtub_0_Pomaria_0_int_2021-05-22_17-39-57.hdf5
29,cleaning_bathtub_0_Pomaria_0_int_2021-05-30_15-40-42.hdf5
30,cleaning_bedroom_0_Beechwood_1_int_2021-05-27_11-44-41.hdf5
31,cleaning_bedroom_0_Beechwood_1_int_2021-06-02_16-17-17.hdf5
32,cleaning_bedroom_0_Beechwood_1_int_2021-06-03_13-11-29.hdf5
33,cleaning_carpets_0_Wainscott_1_int_2021-05-28_17-10-20.hdf5
34,cleaning_carpets_0_Wainscott_1_int_2021-06-02_16-36-44.hdf5
35,cleaning_carpets_0_Wainscott_1_int_2021-06-03_13-47-16.hdf5
36,cleaning_closet_0_Beechwood_1_int_2021-05-28_17-56-08.hdf5
37,cleaning_closet_0_Beechwood_1_int_2021-06-03_13-20-44.hdf5
38,cleaning_closet_0_Beechwood_1_int_2021-06-11_19-57-59.hdf5
39,cleaning_cupboards_0_Wainscott_1_int_2021-05-28_18-23-50.hdf5
40,cleaning_cupboards_0_Wainscott_1_int_2021-06-02_21-54-33.hdf5
41,cleaning_cupboards_0_Wainscott_1_int_2021-06-03_13-54-06.hdf5
42,cleaning_floors_0_Merom_0_int_2021-05-23_22-21-35.hdf5
43,cleaning_floors_0_Merom_0_int_2021-06-02_17-12-18.hdf5
44,cleaning_floors_0_Merom_0_int_2021-06-03_14-06-34.hdf5
45,cleaning_freezer_0_Pomaria_1_int_2021-05-28_18-31-16.hdf5
46,cleaning_freezer_0_Pomaria_1_int_2021-06-02_17-16-44.hdf5
47,cleaning_freezer_0_Pomaria_1_int_2021-06-03_14-10-22.hdf5
48,cleaning_garage_0_Ihlen_0_int_2021-05-23_19-08-05.hdf5
49,cleaning_garage_0_Ihlen_0_int_2021-06-02_17-20-36.hdf5
50,cleaning_garage_0_Ihlen_0_int_2021-06-03_15-47-13.hdf5
51,cleaning_high_chair_0_Wainscott_0_int_2021-05-23_23-22-28.hdf5
52,cleaning_high_chair_0_Wainscott_0_int_2021-06-01_16-13-20.hdf5
53,cleaning_high_chair_0_Wainscott_0_int_2021-06-05_18-03-15.hdf5
54,cleaning_kitchen_cupboard_0_Pomaria_1_int_2021-05-24_11-37-02.hdf5
55,cleaning_kitchen_cupboard_0_Pomaria_1_int_2021-06-02_17-47-41.hdf5
56,cleaning_kitchen_cupboard_0_Pomaria_1_int_2021-06-06_17-09-54.hdf5
57,cleaning_microwave_oven_0_Benevolence_1_int_2021-05-23_17-06-26.hdf5
58,cleaning_microwave_oven_0_Benevolence_1_int_2021-05-31_11-57-51.hdf5
59,cleaning_microwave_oven_0_Benevolence_1_int_2021-06-01_14-51-24.hdf5
60,cleaning_out_drawers_0_Benevolence_1_int_2021-05-23_17-16-19.hdf5
61,cleaning_out_drawers_0_Benevolence_1_int_2021-06-02_18-46-47.hdf5
62,cleaning_out_drawers_0_Benevolence_1_int_2021-06-03_15-53-37.hdf5
63,cleaning_oven_0_Benevolence_1_int_2021-05-23_17-33-26.hdf5
64,cleaning_oven_0_Benevolence_1_int_2021-05-31_12-06-52.hdf5
65,cleaning_oven_0_Benevolence_1_int_2021-06-01_14-55-38.hdf5
66,cleaning_shoes_0_Pomaria_2_int_2021-05-27_18-36-09.hdf5
67,cleaning_shoes_0_Pomaria_2_int_2021-05-31_12-14-06.hdf5
68,cleaning_shoes_0_Pomaria_2_int_2021-06-01_14-59-50.hdf5
69,cleaning_sneakers_0_Pomaria_1_int_2021-05-28_18-36-07.hdf5
70,cleaning_sneakers_0_Pomaria_1_int_2021-05-31_12-21-20.hdf5
71,cleaning_sneakers_0_Pomaria_1_int_2021-06-01_15-04-59.hdf5
72,cleaning_stove_0_Wainscott_0_int_2021-05-30_12-41-55.hdf5
73,cleaning_stove_0_Wainscott_0_int_2021-05-31_12-30-44.hdf5
74,cleaning_stove_0_Wainscott_0_int_2021-06-01_15-16-01.hdf5
75,cleaning_table_after_clearing_0_Beechwood_0_int_2021-05-22_21-29-48.hdf5
76,cleaning_table_after_clearing_0_Beechwood_0_int_2021-05-30_16-22-52.hdf5
77,cleaning_table_after_clearing_0_Beechwood_0_int_2021-06-01_15-22-45.hdf5
78,cleaning_the_hot_tub_0_Ihlen_0_int_2021-05-27_19-25-29.hdf5
79,cleaning_the_hot_tub_0_Ihlen_0_int_2021-05-30_16-29-46.hdf5
80,cleaning_the_hot_tub_0_Ihlen_0_int_2021-06-01_15-27-17.hdf5
81,cleaning_the_pool_0_Ihlen_0_int_2021-05-28_18-45-06.hdf5
82,cleaning_the_pool_0_Ihlen_0_int_2021-05-30_16-33-37.hdf5
83,cleaning_the_pool_0_Ihlen_0_int_2021-06-01_15-30-31.hdf5
84,cleaning_toilet_0_Merom_0_int_2021-05-27_18-08-44.hdf5
85,cleaning_toilet_0_Merom_0_int_2021-05-31_12-36-33.hdf5
86,cleaning_toilet_0_Merom_0_int_2021-06-01_15-36-47.hdf5
87,cleaning_up_after_a_meal_0_Wainscott_0_int_2021-05-27_18-01-14.hdf5
88,cleaning_up_after_a_meal_0_Wainscott_0_int_2021-05-31_12-47-49.hdf5
89,cleaning_up_after_a_meal_0_Wainscott_0_int_2021-06-01_15-41-54.hdf5
90,cleaning_up_refrigerator_0_Wainscott_0_int_2021-05-30_12-49-18.hdf5
91,cleaning_up_refrigerator_0_Wainscott_0_int_2021-05-31_12-57-46.hdf5
92,cleaning_up_refrigerator_0_Wainscott_0_int_2021-06-01_15-49-39.hdf5
93,cleaning_up_the_kitchen_only_0_Pomaria_1_int_2021-05-24_18-40-25.hdf5
94,cleaning_up_the_kitchen_only_0_Pomaria_1_int_2021-05-31_13-03-21.hdf5
95,cleaning_up_the_kitchen_only_0_Pomaria_1_int_2021-06-01_15-55-41.hdf5
96,cleaning_windows_0_Wainscott_0_int_2021-05-23_23-07-05.hdf5
97,cleaning_windows_0_Wainscott_0_int_2021-06-05_17-54-40.hdf5
98,cleaning_windows_0_Wainscott_0_int_2021-06-16_18-24-10.hdf5
99,clearing_the_table_after_dinner_0_Ihlen_0_int_2021-05-23_19-40-56.hdf5
100,clearing_the_table_after_dinner_0_Ihlen_0_int_2021-06-04_17-06-49.hdf5
101,clearing_the_table_after_dinner_0_Ihlen_0_int_2021-06-05_18-49-57.hdf5
102,collecting_aluminum_cans_0_Pomaria_2_int_2021-05-24_22-03-38.hdf5
103,collecting_aluminum_cans_0_Pomaria_2_int_2021-05-31_13-14-08.hdf5
104,collecting_aluminum_cans_0_Pomaria_2_int_2021-06-01_21-22-58.hdf5
105,collect_misplaced_items_0_Wainscott_0_int_2021-05-23_21-43-26.hdf5
106,collect_misplaced_items_0_Wainscott_0_int_2021-06-01_16-20-19.hdf5
107,collect_misplaced_items_0_Wainscott_0_int_2021-06-06_11-54-11.hdf5
108,defrosting_freezer_0_Beechwood_0_int_2021-05-28_19-06-26.hdf5
109,defrosting_freezer_0_Beechwood_0_int_2021-05-31_13-24-31.hdf5
110,defrosting_freezer_0_Beechwood_0_int_2021-06-01_21-29-25.hdf5
111,filling_an_Easter_basket_0_Benevolence_1_int_2021-05-28_19-50-04.hdf5
112,filling_an_Easter_basket_0_Benevolence_1_int_2021-05-31_13-48-23.hdf5
113,filling_an_Easter_basket_0_Benevolence_1_int_2021-06-02_20-54-35.hdf5
114,filling_a_Christmas_stocking_0_Rs_int_2021-05-25_22-46-38.hdf5
115,filling_a_Christmas_stocking_0_Rs_int_2021-05-31_13-38-39.hdf5
116,filling_a_Christmas_stocking_0_Rs_int_2021-06-04_18-47-42.hdf5
117,installing_alarms_0_Wainscott_0_int_2021-05-23_22-58-28.hdf5
118,installing_alarms_0_Wainscott_0_int_2021-06-02_21-19-10.hdf5
119,installing_alarms_0_Wainscott_0_int_2021-06-04_17-26-03.hdf5
120,installing_a_fax_machine_0_Beechwood_0_int_2021-05-28_19-56-57.hdf5
121,installing_a_fax_machine_0_Beechwood_0_int_2021-05-31_13-59-32.hdf5
122,installing_a_fax_machine_0_Beechwood_0_int_2021-06-02_21-01-21.hdf5
123,installing_a_modem_0_Beechwood_0_int_2021-05-22_20-13-43.hdf5
124,installing_a_modem_0_Beechwood_0_int_2021-05-31_14-04-03.hdf5
