,index,urdf_filepath,urdf_path,scene_id,task,task_ids,init_ids
0,0,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_0.urdf,Beechwood_0_int_task_defrosting_freezer_0_0,Beechwood_0_int,defrosting_freezer,0,0
1,1,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_1.urdf,Beechwood_0_int_task_defrosting_freezer_0_1,Beechwood_0_int,defrosting_freezer,0,1
2,2,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_2.urdf,Beechwood_0_int_task_defrosting_freezer_0_2,Beechwood_0_int,defrosting_freezer,0,2
3,3,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_3.urdf,Beechwood_0_int_task_defrosting_freezer_0_3,Beechwood_0_int,defrosting_freezer,0,3
4,4,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_4.urdf,Beechwood_0_int_task_defrosting_freezer_0_4,Beechwood_0_int,defrosting_freezer,0,4
5,5,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_5.urdf,Beechwood_0_int_task_defrosting_freezer_0_5,Beechwood_0_int,defrosting_freezer,0,5
6,6,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_6.urdf,Beechwood_0_int_task_defrosting_freezer_0_6,Beechwood_0_int,defrosting_freezer,0,6
7,7,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_7.urdf,Beechwood_0_int_task_defrosting_freezer_0_7,Beechwood_0_int,defrosting_freezer,0,7
8,8,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_8.urdf,Beechwood_0_int_task_defrosting_freezer_0_8,Beechwood_0_int,defrosting_freezer,0,8
9,9,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_9.urdf,Beechwood_0_int_task_defrosting_freezer_0_9,Beechwood_0_int,defrosting_freezer,0,9
10,10,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_10.urdf,Beechwood_0_int_task_defrosting_freezer_0_10,Beechwood_0_int,defrosting_freezer,0,10
11,11,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_11.urdf,Beechwood_0_int_task_defrosting_freezer_0_11,Beechwood_0_int,defrosting_freezer,0,11
12,12,scenes/Beechwood_0_int/urdf/Beechwood_0_int_task_defrosting_freezer_0_12.urdf,Beechwood_0_int_task_defrosting_freezer_0_12,Beechwood_0_int,defrosting_freezer,0,12
